Date,Open,High,Low,Close,Adj Close,Volume
1998-08-05,21.250000,21.687500,21.000000,21.375000,13.567597,107900
1998-08-06,21.312500,21.812500,21.250000,21.750000,13.805627,90700
1998-08-07,21.750000,22.125000,21.750000,22.000000,13.964311,89800
1998-08-10,22.125000,22.250000,22.062500,22.250000,14.123004,73300
1998-08-11,21.250000,21.500000,21.125000,21.500000,13.646945,101500
1998-08-12,20.937500,21.000000,20.625000,20.750000,13.170884,69200
1998-08-13,19.437500,20.187500,19.437500,20.000000,12.694833,61500
1998-08-14,20.125000,20.375000,20.000000,20.312500,12.893186,28700
1998-08-17,20.437500,20.437500,20.125000,20.375000,12.932861,40000
1998-08-18,20.250000,20.375000,20.125000,20.312500,12.893186,20100
1998-08-19,20.250000,20.250000,19.750000,19.750000,12.536142,58000
1998-08-20,19.937500,20.000000,19.250000,19.750000,12.536142,76700
1998-08-21,19.625000,20.000000,19.500000,19.937500,12.655154,102700
1998-08-24,19.875000,19.875000,19.062500,19.750000,12.536142,73500
1998-08-25,19.000000,19.500000,18.812500,18.875000,11.980742,53200
1998-08-26,18.375000,18.375000,17.500000,17.562500,11.147649,112300
1998-08-27,17.000000,17.125000,16.500000,16.812500,10.671591,98400
1998-08-28,16.562500,17.125000,16.000000,16.312500,10.354220,109400
1998-08-31,17.171875,17.171875,16.062500,16.250000,10.314548,117300
1998-09-01,17.500000,18.687500,17.375000,18.687500,11.861730,109600
1998-09-02,18.062500,18.687500,17.812500,18.500000,11.742718,45700
1998-09-03,18.125000,20.687500,18.062500,20.625000,13.091545,246900
1998-09-04,20.312500,22.500000,20.312500,21.750000,13.805627,214700
1998-09-08,22.000000,22.500000,20.000000,21.000000,13.329577,150700
1998-09-09,20.812500,21.000000,20.437500,20.937500,13.289899,52400
1998-09-10,22.375000,24.062500,22.250000,23.375000,14.837085,308300
1998-09-11,24.062500,24.375000,22.625000,22.625000,14.361028,217700
1998-09-14,22.500000,22.500000,21.312500,22.000000,13.964311,97000
1998-09-15,22.250000,22.437500,22.125000,22.250000,14.123004,29300
1998-09-16,22.000000,22.250000,21.000000,21.062500,13.369243,148500
1998-09-17,22.250000,22.687500,22.000000,22.500000,14.281685,74000
1998-09-18,22.500000,22.500000,21.750000,22.125000,14.043653,35400
1998-09-21,22.625000,22.625000,22.125000,22.187500,14.083326,99000
1998-09-22,21.750000,22.000000,21.562500,21.562500,13.686608,46800
1998-09-23,21.562500,21.562500,20.750000,21.250000,13.488257,136400
1998-09-24,21.500000,23.750000,21.500000,23.687500,15.035440,276000
1998-09-25,25.000000,25.375000,24.437500,25.125000,15.947879,348100
1998-09-28,24.500000,26.312500,24.375000,26.250000,16.661964,299000
1998-09-29,26.375000,26.875000,26.375000,26.625000,16.899992,133200
1998-09-30,26.500000,27.125000,26.125000,26.875000,17.058674,173900
1998-10-01,28.000000,29.250000,27.250000,29.125000,18.486853,489000
1998-10-02,29.250000,29.625000,28.812500,29.250000,18.566193,491300
1998-10-05,28.500000,28.500000,26.875000,27.000000,17.138016,166500
1998-10-06,26.750000,27.875000,26.562500,27.750000,17.614079,140400
1998-10-07,28.500000,30.250000,28.500000,30.062500,19.081915,299000
1998-10-08,31.000000,31.000000,29.812500,30.125000,19.121588,417100
1998-10-09,29.500000,29.500000,27.750000,28.062500,17.812429,169400
1998-10-12,27.687500,27.687500,25.062500,25.500000,16.185911,235600
1998-10-13,25.750000,26.000000,25.062500,25.125000,15.947879,277300
1998-10-14,25.062500,25.375000,24.875000,24.937500,15.828865,168100
1998-10-15,25.562500,26.000000,24.625000,25.187500,15.987553,270800
1998-10-16,26.750000,26.750000,25.375000,26.062500,16.542950,198400
1998-10-19,25.812500,25.875000,25.125000,25.250000,16.027224,67600
1998-10-20,25.500000,25.750000,25.375000,25.500000,16.185911,96600
1998-10-21,25.500000,25.687500,25.437500,25.500000,16.185911,20300
1998-10-22,24.625000,24.812500,24.500000,24.625000,15.630511,58900
1998-10-23,24.875000,24.875000,24.625000,24.625000,15.630511,22700
1998-10-26,24.500000,24.625000,24.437500,24.500000,15.551167,84900
1998-10-27,25.125000,25.875000,25.125000,25.875000,16.423939,189100
1998-10-28,25.625000,25.687500,25.312500,25.562500,16.225580,41700
1998-10-29,25.687500,25.937500,25.375000,25.562500,16.225580,93200
1998-10-30,25.437500,25.437500,24.937500,25.000000,15.868540,73500
1998-11-02,24.937500,25.062500,24.500000,24.625000,15.630511,46200
1998-11-03,24.250000,24.250000,23.562500,24.000000,15.233798,128300
1998-11-04,24.000000,24.750000,23.500000,24.437500,15.511497,248100
1998-11-05,24.687500,25.125000,24.000000,24.562500,15.590839,315100
1998-11-06,24.562500,24.937500,24.125000,24.125000,15.313140,220100
1998-11-09,24.062500,24.062500,23.750000,24.000000,15.233798,30900
1998-11-10,23.562500,24.000000,23.375000,23.687500,15.035440,48400
1998-11-11,23.500000,23.625000,23.000000,23.000000,14.599054,87500
1998-11-12,23.000000,24.000000,22.625000,23.937500,15.194125,187900
1998-11-13,24.250000,24.750000,23.750000,23.812500,15.114780,117000
1998-11-16,23.937500,24.125000,23.625000,24.000000,15.233798,78900
1998-11-17,23.812500,24.250000,23.750000,24.062500,15.273468,15500
1998-11-18,24.750000,25.500000,24.687500,25.000000,15.868540,215800
1998-11-19,25.875000,25.875000,24.812500,24.875000,15.789194,111500
1998-11-20,25.187500,25.187500,24.437500,24.437500,15.511497,68800
1998-11-23,24.375000,24.437500,24.000000,24.187500,15.352809,119100
1998-11-24,24.500000,24.500000,24.125000,24.125000,15.313140,60900
1998-11-25,24.125000,24.500000,24.000000,24.375000,15.471821,72800
1998-11-27,24.125000,24.312500,24.062500,24.312500,15.432154,32500
1998-11-30,24.125000,24.125000,22.562500,22.562500,14.321354,254900
1998-12-01,22.750000,23.125000,21.750000,22.000000,13.964311,159700
1998-12-02,22.000000,22.000000,21.062500,21.312500,13.527931,109300
1998-12-03,20.937500,21.375000,20.875000,21.062500,13.369243,78400
1998-12-04,20.812500,20.937500,19.375000,19.625000,12.456805,164200
1998-12-07,20.125000,20.625000,20.125000,20.312500,12.893186,262600
1998-12-08,20.375000,20.375000,19.500000,19.562500,12.417130,174000
1998-12-09,19.625000,20.000000,19.625000,19.812500,12.575817,181500
1998-12-10,20.312500,20.750000,20.312500,20.750000,13.170884,195400
1998-12-11,20.125000,20.187500,19.687500,19.875000,12.615491,110400
1998-12-14,19.750000,20.187500,19.750000,19.937500,12.655154,53200
1998-12-15,20.562500,20.625000,20.125000,20.125000,12.774167,86300
