Daily Date,High,Low,Open,Close
04/07/2024,1.86,1.39,1.85,1.86
03/07/2024,1.85,1.39,1.85,1.85
02/07/2024,1.85,1.39,1.81,1.85
01/07/2024,1.81,1.39,1.81,1.81
28/06/2024,1.81,1.39,1.81,1.81
27/06/2024,1.81,1.39,1.81,1.81
26/06/2024,1.81,1.39,1.80,1.81
25/06/2024,1.80,1.39,1.80,1.80
24/06/2024,1.80,1.39,1.80,1.80
21/06/2024,1.80,1.39,1.80,1.80
20/06/2024,1.80,1.39,1.80,1.80
19/06/2024,1.80,1.39,1.80,1.80
18/06/2024,1.80,1.39,1.80,1.80
14/06/2024,1.80,1.39,1.80,1.80
13/06/2024,1.80,1.39,1.80,1.80
12/06/2024,1.80,1.39,1.80,1.80
11/06/2024,1.80,1.39,1.80,1.80
10/06/2024,1.80,1.39,1.80,1.80
07/06/2024,1.80,1.39,1.80,1.80
06/06/2024,1.80,1.39,1.80,1.80
05/06/2024,1.80,1.39,1.80,1.80
04/06/2024,1.80,1.39,1.80,1.80
03/06/2024,1.80,1.39,1.80,1.80
31/05/2024,1.80,1.39,1.80,1.80
30/05/2024,1.80,1.39,1.80,1.80
29/05/2024,1.80,1.39,1.80,1.80
28/05/2024,1.80,1.39,1.80,1.80
27/05/2024,1.80,1.39,1.80,1.80
24/05/2024,1.80,1.39,1.80,1.80
23/05/2024,1.80,1.39,1.80,1.80
22/05/2024,1.80,1.39,1.80,1.80
21/05/2024,1.80,1.39,1.80,1.80
20/05/2024,1.80,1.39,1.80,1.80
17/05/2024,1.80,1.39,1.79,1.80
16/05/2024,1.80,1.39,1.80,1.79
15/05/2024,1.80,1.39,1.80,1.80
14/05/2024,1.80,1.39,1.75,1.80
13/05/2024,1.75,1.39,1.72,1.75
10/05/2024,1.75,1.39,1.72,1.72
09/05/2024,1.75,1.39,1.72,1.72
08/05/2024,1.75,1.39,1.72,1.72
07/05/2024,1.75,1.39,1.72,1.72
06/05/2024,1.75,1.39,1.72,1.72
03/05/2024,1.75,1.39,1.75,1.72
02/05/2024,1.75,1.39,1.75,1.75
30/04/2024,1.75,1.39,1.64,1.75
29/04/2024,1.65,1.39,1.60,1.64
26/04/2024,1.65,1.39,1.60,1.60
25/04/2024,1.65,1.39,1.60,1.60
24/04/2024,1.65,1.39,1.60,1.60
23/04/2024,1.65,1.39,1.60,1.60
22/04/2024,1.65,1.39,1.60,1.60
19/04/2024,1.65,1.39,1.60,1.60
18/04/2024,1.65,1.39,1.60,1.60
17/04/2024,1.65,1.39,1.60,1.60
16/04/2024,1.65,1.39,1.60,1.60
15/04/2024,1.65,1.39,1.56,1.60
12/04/2024,1.65,1.39,1.56,1.56
10/04/2024,1.65,1.39,1.56,1.56
09/04/2024,1.65,1.39,1.56,1.56
08/04/2024,1.65,1.39,1.57,1.56
05/04/2024,1.65,1.39,1.58,1.57
04/04/2024,1.65,1.39,1.58,1.58
03/04/2024,1.65,1.39,1.58,1.58
02/04/2024,1.65,1.39,1.58,1.58
28/03/2024,1.65,1.39,1.58,1.58
27/03/2024,1.65,1.39,1.60,1.58
26/03/2024,1.65,1.39,1.65,1.60
25/03/2024,1.65,1.39,1.65,1.65
22/03/2024,1.65,1.39,1.65,1.65
21/03/2024,1.65,1.39,1.57,1.65
20/03/2024,1.57,1.39,1.56,1.57
19/03/2024,1.56,1.39,1.55,1.56
18/03/2024,1.55,1.39,1.50,1.55
15/03/2024,1.50,1.39,1.50,1.50
14/03/2024,1.50,1.39,1.50,1.50
13/03/2024,1.50,1.39,1.50,1.50
12/03/2024,1.50,1.39,1.50,1.50
11/03/2024,1.50,1.39,1.49,1.50
08/03/2024,1.49,1.39,1.46,1.49
07/03/2024,1.46,1.39,1.46,1.46
05/03/2024,1.46,1.39,1.46,1.46
04/03/2024,1.46,1.39,1.44,1.46
01/03/2024,1.44,1.39,1.40,1.44
29/02/2024,1.40,1.39,1.39,1.40
28/02/2024,1.40,1.39,1.40,1.39
27/02/2024,1.40,1.40,1.40,1.40
26/02/2024,1.40,1.40,1.40,1.40
23/02/2024,1.40,1.40,1.40,1.40
22/02/2024,1.40,1.40,1.40,1.40
21/02/2024,1.40,1.40,1.40,1.40
20/02/2024,1.40,1.40,1.40,1.40
19/02/2024,1.40,1.40,1.40,1.40
16/02/2024,1.40,1.40,1.40,1.40
15/02/2024,1.40,1.40,1.40,1.40
14/02/2024,1.40,1.40,1.40,1.40
13/02/2024,1.40,1.40,1.40,1.40
12/02/2024,1.40,1.40,1.40,1.40
09/02/2024,1.40,1.40,1.40,1.40
08/02/2024,1.40,1.40,1.40,1.40
07/02/2024,1.40,1.40,1.40,1.40
06/02/2024,1.40,1.40,1.40,1.40
05/02/2024,1.40,1.40,1.40,1.40
02/02/2024,1.40,1.40,1.40,1.40
01/02/2024,1.40,1.40,1.40,1.40
31/01/2024,1.40,1.40,1.40,1.40
30/01/2024,1.40,1.40,1.40,1.40
29/01/2024,1.40,1.40,1.40,1.40
