Date,High,Low,Open,Close
6/25/2007,18.06,15.8,18.06,18.06
6/26/2007,18.06,15.8,18.06,18.06
6/27/2007,18.06,15.8,18.06,18.06
6/28/2007,18.06,15.8,18.06,18.06
6/29/2007,18.06,15.8,18.06,18.06
6/30/2007,18.06,15.8,18.06,18.06
7/1/2007,18.06,15.8,18.06,18.06
7/2/2007,18.06,15.8,18.06,18.06
7/3/2007,18.06,15.8,18.06,18.06
7/4/2007,18.06,15.8,18.06,18.06
7/5/2007,18.06,15.8,18.06,18.06
7/6/2007,18.06,15.8,18.06,18.06
7/7/2007,18.06,15.8,18.06,18.06
7/8/2007,18.06,15.8,18.06,18.06
7/9/2007,18.06,15.8,18.06,18.06
7/10/2007,18.06,15.8,18.06,18.06
7/11/2007,18.06,15.8,18.06,18.06
7/12/2007,18.06,15.8,18.06,18.06
7/13/2007,18.06,15.8,18.06,18.06
7/14/2007,18.06,15.8,18.06,18.06
7/15/2007,18.07,15.8,18.06,18.07
7/16/2007,18.07,15.8,18.07,18.07
7/17/2007,18.07,15.8,18.07,18.07
7/18/2007,18.08,15.8,18.07,18.08
7/19/2007,18.08,15.8,18.08,18.08
7/20/2007,18.08,15.8,18.08,18.08
7/21/2007,18.09,15.8,18.08,18.09
7/22/2007,18.09,15.8,18.09,18.09
7/23/2007,18.09,15.8,18.09,18.09
7/24/2007,18.09,15.8,18.09,18.09
7/25/2007,18.09,15.8,18.09,18.09
7/26/2007,18.09,15.8,18.09,18.09
7/27/2007,18.09,15.8,18.09,18.09
7/28/2007,18.09,15.8,18.09,18.09
7/29/2007,19,15.8,18.09,19
7/30/2007,19,15.8,19,19
7/31/2007,19,15.8,19,19
8/1/2007,19,15.8,19,19
8/2/2007,19,15.8,19,19
8/3/2007,20,15.8,19,20
8/4/2007,20,15.8,20,20
8/5/2007,20,15.8,20,20
8/6/2007,20,15.8,20,20
8/7/2007,20,15.8,20,20
8/8/2007,20,15.8,20,20
8/9/2007,20,15.8,20,20
8/10/2007,20,15.8,20,20
8/11/2007,20,15.8,20,20
8/12/2007,20,15.8,20,20
