Daily Date,High,Low,Open,Close
25/06/2007,5.46,5.4,5.46,5.46
26/06/2007,5.46,5.4,5.46,5.46
27/06/2007,5.45,5.4,5.45,5.45
28/06/2007,5.45,5.4,5.45,5.45
29/06/2007,5.45,5.4,5.45,5.45
3/7/2007,5.45,5.4,5.45,5.45
4/7/2007,5.45,5.4,5.45,5.45
5/7/2007,5.45,5.4,5.45,5.45
6/7/2007,5.45,5.4,5.45,5.45
9/7/2007,5.45,5.4,5.45,5.45
10/7/2007,5.45,5.4,5.45,5.45
11/7/2007,5.45,5.4,5.45,5.45
12/7/2007,5.45,5.4,5.45,5.45
13/07/2007,5.45,5.4,5.45,5.45
16/07/2007,5.45,5.4,5.45,5.45
17/07/2007,5.45,5.4,5.45,5.45
18/07/2007,5.45,5.4,5.45,5.45
19/07/2007,5.45,5.4,5.45,5.45
20/07/2007,5.45,5.4,5.45,5.45
23/07/2007,5.45,5.4,5.45,5.45
24/07/2007,5.45,5.4,5.45,5.45
25/07/2007,5.45,5.4,5.45,5.45
26/07/2007,5.45,5.4,5.45,5.45
27/07/2007,5.45,5.4,5.45,5.45
30/07/2007,5.45,5.4,5.45,5.45
31/07/2007,5.45,5.4,5.45,5.45
1/8/2007,5.45,5.4,5.45,5.45
2/8/2007,5.45,5.4,5.45,5.45
3/8/2007,5.48,5.4,5.45,5.48
6/8/2007,5.48,5.4,5.48,5.48
7/8/2007,5.48,5.4,5.48,5.48
8/8/2007,5.48,5.4,5.48,5.48
9/8/2007,5.48,5.4,5.48,5.48
10/8/2007,5.48,5.4,5.48,5.48
13/08/2007,5.48,5.4,5.48,5.48
14/08/2007,5.48,5.4,5.48,5.48
15/08/2007,5.48,5.4,5.48,5.48
16/08/2007,5.48,5.4,5.48,5.48
17/08/2007,5.48,5.4,5.48,5.48
20/08/2007,5.48,5.4,5.48,5.48
21/08/2007,5.48,5.4,5.48,5.48
22/08/2007,5.48,5.4,5.48,5.48
24/08/2007,5.48,5.4,5.48,5.48
27/08/2007,5.48,5.4,5.48,5.48
28/08/2007,5.48,5.4,5.48,5.48
29/08/2007,5.48,5.4,5.48,5.48
30/08/2007,5.48,5.4,5.48,5.48
31/08/2007,5.48,5.4,5.48,5.48
3/9/2007,5.48,5.4,5.48,5.48
4/9/2007,5.48,5.4,5.48,5.48
5/9/2007,5.49,5.4,5.48,5.49
6/9/2007,5.49,5.4,5.49,5.49
7/9/2007,5.49,5.4,5.49,5.49
10/9/2007,5.49,5.4,5.49,5.49
11/9/2007,5.49,5.4,5.49,5.49
12/9/2007,5.49,5.4,5.49,5.49
13/09/2007,5.49,5.4,5.49,5.49
14/09/2007,5.49,5.4,5.49,5.49
17/09/2007,5.49,5.4,5.49,5.49
18/09/2007,5.49,5.4,5.49,5.49
19/09/2007,5.49,5.4,5.49,5.49
20/09/2007,5.49,5.4,5.49,5.49
21/09/2007,5.49,5.4,5.49,5.49
24/09/2007,5.49,5.4,5.49,5.49
25/09/2007,5.49,5.4,5.49,5.49
26/09/2007,5.49,5.4,5.49,5.49
27/09/2007,5.49,5.4,5.49,5.49
28/09/2007,5.49,5.4,5.49,5.49
1/10/2007,5.49,5.4,5.49,5.49
2/10/2007,5.49,5.4,5.49,5.49
3/10/2007,5.49,5.4,5.49,5.49
4/10/2007,5.49,5.4,5.49,5.49
5/10/2007,5.49,5.4,5.49,5.49
8/10/2007,5.49,5.4,5.49,5.49
9/10/2007,5.49,5.4,5.49,5.49
10/10/2007,5.49,5.4,5.49,5.49
11/10/2007,5.49,5.4,5.49,5.49
12/10/2007,5.49,5.4,5.49,5.49
16/10/2007,5.49,5.4,5.49,5.49
17/10/2007,5.49,5.4,5.49,5.49
18/10/2007,5.49,5.4,5.49,5.49
19/10/2007,5.49,5.4,5.49,5.49
22/10/2007,5.49,5.4,5.49,5.49
23/10/2007,5.49,5.4,5.49,5.49
24/10/2007,5.49,5.4,5.49,5.49
25/10/2007,5.49,5.4,5.49,5.49
26/10/2007,5.49,5.4,5.49,5.49
29/10/2007,5.49,5.4,5.49,5.49
30/10/2007,5.49,5.4,5.49,5.49
31/10/2007,5.49,5.4,5.49,5.49
1/11/2007,5.49,5.4,5.49,5.49
2/11/2007,5.49,5.4,5.49,5.49
5/11/2007,5.49,5.4,5.49,5.49
6/11/2007,5.49,5.4,5.49,5.49
7/11/2007,5.49,5.4,5.49,5.49
