Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
28/12/2016,ACCESS,4.10,4.00,4.10,4.10,4.10,4.10,0,,,0.00,
29/12/2016,ACCESS,4.10,4.00,4.10,4.10,4.10,4.10,0,,,0.00,
30/12/2016,ACCESS,4.10,4.00,4.10,4.10,4.10,4.10,0,4.10,,0.00,
03/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
04/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
05/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
06/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
09/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
10/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
11/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
12/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
13/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
16/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
17/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
18/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
19/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
20/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
23/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
24/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
25/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
26/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
27/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
30/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
31/01/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
01/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
02/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
03/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
06/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
07/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
08/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
09/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
10/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
13/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
14/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
15/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
16/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
17/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
20/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
21/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,4.10,,0.00,
22/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,4.10,300.00,
23/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
24/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
27/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,700.00,
28/02/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,100.00,
01/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
02/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
03/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
07/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
08/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
09/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
10/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
13/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,4.10,200.00,
14/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,200.00,
15/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
16/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
17/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
20/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
21/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
22/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
23/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
24/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
27/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
28/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
29/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
30/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,,0.00,
31/03/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,4.10,0.00,
03/04/2017,ACCESS,4.10,4.10,4.10,4.10,4.10,4.10,0,,4.10,0.00,
