Date,Close,Volume,Open,High,Low
5/29/2024,$429.17 ,15517130,$425.69 ,$430.94 ,$425.69 
5/28/2024,$430.32 ,15718020,$429.63 ,$430.82 ,$426.60 
5/24/2024,$430.16 ,11855290,$427.19 ,$431.06 ,$424.41 
5/23/2024,$427.00 ,17211690,$432.97 ,$433.60 ,$425.42 
5/22/2024,$430.52 ,18073700,$430.09 ,$432.41 ,$427.13 
5/21/2024,$429.04 ,21453260,$426.83 ,$432.97 ,$424.85 
5/20/2024,$425.34 ,16272140,$420.21 ,$426.77 ,$419.99 
5/17/2024,$420.21 ,15352240,$422.54 ,$422.92 ,$418.03 
5/16/2024,$420.99 ,17530050,$421.80 ,$425.42 ,$420.35 
5/15/2024,$423.08 ,22239530,$417.90 ,$423.81 ,$417.27 
5/14/2024,$416.56 ,15109310,$412.02 ,$417.49 ,$411.55 
5/13/2024,$413.72 ,15440230,$418.01 ,$418.35 ,$410.82 
5/10/2024,$414.74 ,13402280,$412.94 ,$415.38 ,$411.80 
5/9/2024,$412.32 ,14689730,$410.57 ,$412.72 ,$409.10 
5/8/2024,$410.54 ,11792310,$408.17 ,$412.23 ,$406.71 
5/7/2024,$409.34 ,20018230,$414.66 ,$414.67 ,$409.09 
5/6/2024,$413.54 ,16996640,$408.76 ,$413.93 ,$406.37 
5/3/2024,$406.66 ,17446720,$402.28 ,$407.15 ,$401.86 
5/2/2024,$397.84 ,17709360,$397.66 ,$399.93 ,$394.65 
5/1/2024,$394.94 ,23562480,$392.61 ,$401.72 ,$390.31 
4/30/2024,$389.33 ,28781370,$401.49 ,$402.16 ,$389.17 
4/29/2024,$402.25 ,19582090,$405.25 ,$406.32 ,$399.19 
4/26/2024,$406.32 ,29694650,$412.17 ,$413.00 ,$405.76 
4/25/2024,$399.04 ,40586450,$394.03 ,$399.89 ,$388.03 
4/24/2024,$409.06 ,15065330,$409.56 ,$412.47 ,$406.78 
4/23/2024,$407.57 ,15734500,$404.24 ,$408.20 ,$403.06 
4/22/2024,$400.96 ,20286880,$400.08 ,$402.85 ,$395.75 
4/19/2024,$399.12 ,30565790,$404.03 ,$405.48 ,$397.77 
4/18/2024,$404.27 ,21029920,$410.63 ,$411.89 ,$403.95 
4/17/2024,$411.84 ,15855490,$417.25 ,$418.88 ,$410.33 
4/16/2024,$414.58 ,16765620,$414.57 ,$418.40 ,$413.73 
4/15/2024,$413.64 ,20273540,$426.60 ,$426.82 ,$413.43 
4/12/2024,$421.90 ,19253750,$424.05 ,$425.18 ,$419.77 
4/11/2024,$427.93 ,17966420,$425.82 ,$429.37 ,$422.36 
4/10/2024,$423.26 ,16216580,$422.19 ,$424.03 ,$419.70 
4/9/2024,$426.28 ,12512290,$426.44 ,$427.74 ,$421.62 
4/8/2024,$424.59 ,14272390,$425.17 ,$427.28 ,$423.30 
4/5/2024,$425.52 ,16554760,$420.01 ,$426.51 ,$418.32 
4/4/2024,$417.88 ,19370880,$424.99 ,$428.67 ,$417.57 
4/3/2024,$420.45 ,16502260,$419.73 ,$423.26 ,$419.09 
4/2/2024,$421.44 ,17911990,$420.11 ,$422.38 ,$417.84 
4/1/2024,$424.57 ,16315960,$423.95 ,$427.89 ,$422.22 
3/28/2024,$420.72 ,21871160,$420.96 ,$421.87 ,$419.12 
3/27/2024,$421.43 ,16704980,$424.44 ,$424.45 ,$419.01 
3/26/2024,$421.65 ,16725650,$425.61 ,$425.99 ,$421.35 
3/25/2024,$422.86 ,18060450,$425.24 ,$427.41 ,$421.61 
3/22/2024,$428.74 ,17648470,$429.70 ,$429.86 ,$426.07 
3/21/2024,$429.37 ,21296220,$429.83 ,$430.82 ,$427.16 
3/20/2024,$425.23 ,17860090,$422.00 ,$425.96 ,$420.66 
3/19/2024,$421.41 ,19837920,$417.83 ,$421.67 ,$415.55 
3/18/2024,$417.32 ,20105980,$414.25 ,$420.73 ,$413.78 
3/15/2024,$416.42 ,45079900,$419.29 ,$422.60 ,$412.79 
3/14/2024,$425.22 ,34157300,$420.24 ,$427.82 ,$417.99 
3/13/2024,$415.10 ,17115930,$418.10 ,$418.18 ,$411.45 
3/12/2024,$415.28 ,22457000,$407.62 ,$415.57 ,$406.79 
3/11/2024,$404.52 ,16120750,$403.76 ,$405.68 ,$401.26 
3/8/2024,$406.22 ,18002190,$407.96 ,$410.42 ,$404.33 
3/7/2024,$409.14 ,18718480,$406.12 ,$409.78 ,$402.24 
3/6/2024,$402.09 ,22344150,$402.97 ,$405.16 ,$398.39 
3/5/2024,$402.65 ,26919180,$413.96 ,$414.25 ,$400.64 
3/4/2024,$414.92 ,17595960,$413.44 ,$417.35 ,$412.32 
3/1/2024,$415.50 ,17823450,$411.27 ,$415.87 ,$410.88 
2/29/2024,$413.64 ,31947260,$408.64 ,$414.20 ,$405.92 
2/28/2024,$407.72 ,13183130,$408.18 ,$409.30 ,$405.32 
2/27/2024,$407.48 ,14835830,$407.99 ,$408.32 ,$403.85 
2/26/2024,$407.54 ,16193510,$411.46 ,$412.16 ,$407.36 
2/23/2024,$410.34 ,16295880,$415.67 ,$415.86 ,$408.97 
